time,input,pid,output
3405,2000,2000,1998
3410,2000,2000,1998
3415,2000,2000,1998
3420,2000,2000,1998
3425,2000,2000,1998
3430,2000,2000,1998
3435,2000,2000,1998
3440,2000,2000,1998
3445,2000,2000,1998
3450,2000,2000,1998
3455,2000,2000,1998
3460,2000,2000,1998
3465,2000,2000,1998
3470,2000,2000,1998
3475,2000,2000,1998
3480,2000,2000,1998
3485,2000,2000,1998
3490,2000,2000,1998
3495,2000,2000,1998
3500,1000,1000,1994
3505,1000,1000,1943
3510,1000,1000,1840
3515,1000,1000,1733
3520,1000,1000,1630
3525,1000,1000,1543
3530,1000,1000,1463
3535,1000,1000,1398
3540,1000,1000,1340
3545,1000,1000,1289
3550,1000,1000,1247
3555,1000,1000,1214
3560,1000,1000,1182
3565,1000,1000,1156
3570,1000,1000,1134
3575,1000,1000,1115
3580,1000,1000,1098
3585,1000,1000,1082
3590,1000,1000,1069
3595,1000,1000,1060
3600,1000,1000,1053
3605,1000,1000,1044
3610,1000,1000,1037
3615,1000,1000,1031
3620,1000,1000,1028
3625,1000,1000,1024
3630,1000,1000,1021
3635,1000,1000,1018
3640,1000,1000,1015
3645,1000,1000,1011
3650,1000,1000,1011
3655,1000,1000,1008
3660,1000,1000,1005
3665,1000,1000,1005
3670,1000,1000,1005
3675,1000,1000,1005
3680,1000,1000,1002
3685,1000,1000,1002
3690,1000,1000,1002
3695,1000,1000,1002
3700,1000,1000,1005
3705,1000,1000,1002
3710,1000,1000,999
3715,1000,1000,999
3720,1000,1000,999
3725,1000,1000,999
3730,1000,1000,995
3735,1000,1000,999
3740,1000,1000,999
3745,1000,1000,999
3750,1000,1000,999
3755,1000,1000,999
3760,1000,1000,999
3765,1000,1000,999
3770,1000,1000,999
3775,1000,1000,999
3780,1000,1000,999
3785,1000,1000,999
3790,1000,1000,999
3795,1000,1000,995
3800,1000,1000,995
3805,1000,1000,995
3810,1000,1000,999
3815,1000,1000,995
3820,1000,1000,999
3825,1000,1000,999
3830,1000,1000,995
3835,1000,1000,995
3840,1000,1000,995
3845,1000,1000,995
3850,1000,1000,999
3855,1000,1000,995
3860,1000,1000,995
3865,1000,1000,995
3870,1000,1000,995
3875,1000,1000,999
3880,1000,1000,995
3885,1000,1000,995
3890,1000,1000,995
3895,1000,1000,999
3900,1000,1000,995
3905,1000,1000,995
3910,1000,1000,995
3915,1000,1000,995
3920,1000,1000,995
3925,1000,1000,995
3930,1000,1000,995
3935,1000,1000,995
3940,1000,1000,995
3945,1000,1000,995
3950,1000,1000,995
3955,1000,1000,995
3960,1000,1000,995
3965,1000,1000,995
3970,1000,1000,995
3975,1000,1000,999
3980,1000,1000,995
3985,1000,1000,995
3990,1000,1000,995
3995,1000,1000,995
4000,2000,2000,999
4005,2000,2000,1047
4010,2000,2000,1153
4015,2000,2000,1260
4020,2000,2000,1363
4025,2000,2000,1450
4030,2000,2000,1527
4035,2000,2000,1595
4040,2000,2000,1653
4045,2000,2000,1701
4050,2000,2000,1743
4055,2000,2000,1782
4060,2000,2000,1811
4065,2000,2000,1836
4070,2000,2000,1859
4075,2000,2000,1878
